id,organization,title,type,url
1,WHO,WHO Recommendations on Antenatal Care for a Positive Pregnancy Experience,PDF,https://www.who.int/publications/i/item/9789241549912
2,WHO,WHO Antenatal Care Executive Summary,PDF,https://www.who.int/publications/i/item/WHO-RHR-16.12
3,WHO,WHO Antenatal Care Highlights and Key Messages,PDF,https://www.who.int/publications/i/item/WHO-RHR-18.02
4,WHO,Pregnancy Childbirth Postpartum and Newborn Care: A Guide for Essential Practice,PDF,https://www.who.int/publications/b/31363
5,WHO,WHO Recommendations for Prevention and Treatment of Pre-eclampsia and Eclampsia,PDF,https://www.who.int/publications/i/item/9789241548335
6,WHO,WHO Recommendations on Severe Pre-eclampsia Before Term,PDF,https://www.who.int/publications/i/item/9789241550444
7,WHO,WHO Recommendation on Calcium Supplementation for Prevention of Pre-eclampsia,PDF,https://www.who.int/publications/i/item/9789240003118
8,WHO,WHO Recommendation on Assessment of Postpartum Blood Loss and Treatment Bundle for Postpartum Haemorrhage,PDF,https://www.who.int/publications/i/item/9789240085398
9,WHO,WHO Recommendation on Tranexamic Acid for Treatment of Postpartum Haemorrhage,PDF,https://www.who.int/publications/i/item/9789241550154
10,WHO,Bleeding After Birth: Course on Prevention Diagnosis and Treatment of Postpartum Haemorrhage,PDF,https://www.who.int/publications/i/item/9789240115835
11,CDC,Pregnancy Complications,WEBPAGE,https://www.cdc.gov/maternal-infant-health/pregnancy-complications/index.html
12,CDC,Urgent Maternal Warning Signs and Symptoms,WEBPAGE,https://www.cdc.gov/hearher/maternal-warning-signs/index.html
13,CDC,Pregnancy and Vaccination,WEBPAGE,https://www.cdc.gov/vaccines-pregnancy/index.html
14,CDC,Vaccine Resources for Pregnant Women,WEBPAGE,https://www.cdc.gov/vaccines-pregnancy/resources/index.html
15,CDC,Vaccine Safety for Moms-to-Be,WEBPAGE,https://www.cdc.gov/vaccines-pregnancy/moms-to-be/index.html
16,CDC,Gestational Diabetes,WEBPAGE,https://www.cdc.gov/diabetes/about/gestational-diabetes.html
17,CDC,Diabetes During Pregnancy,WEBPAGE,https://www.cdc.gov/maternal-infant-health/pregnancy-diabetes/index.html
18,CDC,Alcohol Use During Pregnancy,WEBPAGE,https://www.cdc.gov/alcohol-pregnancy/about/index.html
19,NHS,Week-by-Week Pregnancy Guide,WEBPAGE,https://www.nhs.uk/best-start-in-life/pregnancy/week-by-week-guide-to-pregnancy/
20,NHS,Pregnancy Care Checks and Screening,WEBPAGE,https://www.nhs.uk/pregnancy/your-pregnancy-care/
21,NHS,Antenatal Care and Appointments,WEBPAGE,https://www.nhs.uk/pregnancy/your-pregnancy-care/your-antenatal-care-and-appointments/
22,NHS,Screening Tests in Pregnancy,WEBPAGE,https://www.nhs.uk/pregnancy/your-pregnancy-care/screening-tests/
23,NHS,Pregnancy Symptoms,WEBPAGE,https://www.nhs.uk/pregnancy/common-symptoms/
24,NHS,Labour and Birth,WEBPAGE,https://www.nhs.uk/pregnancy/labour-and-birth/
25,UNICEF,Maternal and Newborn Health,WEBPAGE,https://www.unicef.org/health/maternal-and-newborn-health
26,UNICEF Nigeria,Safe and Healthy Pregnancy,WEBPAGE,https://www.unicef.org/nigeria/safe-and-health-pregnancy
27,UNICEF,Programme Guidance on Maternal Nutrition,PDF,https://www.unicef.org/documents/programme-guidance-maternal-nutrition
28,UNICEF,Nutrition Commodities for Women: Technical Bulletin 26,PDF,https://www.unicef.org/documents/nutrition-commodities-women-technical-bulletin-26
29,UNICEF,Guidance to Protect Nutrition of Women and Adolescent Girls in Humanitarian Settings,PDF,https://www.unicef.org/documents/guidance-protect-nutrition-women-and-adolescent-girls-humanitarian-settings
30,UNICEF Nigeria,Evaluation of the Maternal Newborn and Child Health Week in Nigeria,PDF,https://www.unicef.org/nigeria/reports/evaluation-maternal-newborn-and-child-health-week-nigeria
31,UNICEF,Maternal Nutrition Counselling: Considerations for Programming with Quality Equity and Scale,PDF,https://www.unicef.org/media/114566/file
32,UNICEF,Evidence Review to Inform the Programme Guidance to Protect the Nutrition of Women and Adolescent Girls in Humanitarian Settings,PDF,https://www.unicef.org/media/160221/file/PBWG-Humanitarian-Evidence-review-final.pdf
